2021-05-09 01:04:04,189 	 [INFO | officialFPLApi.py:121] > Collecting bootstrap static data
2021-05-09 01:04:04,189 	 [INFO | officialFPLApi.py:126] > Request for bootstrap static data : https://fantasy.premierleague.com/api/bootstrap-static/
2021-05-09 01:04:04,528 	 [INFO | officialFPLApi.py:98] > Collecting event status
2021-05-09 01:04:04,528 	 [INFO | officialFPLApi.py:103] > Request for event status : https://fantasy.premierleague.com/api/event-status/
2021-05-09 01:04:04,653 	 [INFO | officialFPLApi.py:85] > Collecting fixture information
2021-05-09 01:04:04,653 	 [INFO | officialFPLApi.py:30] > Collecting live data info
2021-05-09 01:04:04,653 	 [INFO | officialFPLApi.py:90] > Request for event status : https://fantasy.premierleague.com/api/fixtures/?event=None
2021-05-09 01:04:04,653 	 [INFO | officialFPLApi.py:35] > Request for basic team info : https://fantasy.premierleague.com/api/event/35/live
2021-05-09 01:04:04,661 	 [INFO | service.py:19] > Dashboard service listening on http://localhost:8086
2021-05-09 01:04:04,955 	 [INFO | officialFPLApi.py:85] > Collecting fixture information
2021-05-09 01:04:04,955 	 [INFO | officialFPLApi.py:90] > Request for event status : https://fantasy.premierleague.com/api/fixtures/?event=35
2021-05-09 01:04:09,923 	 [INFO | officialFPLApi.py:85] > Collecting fixture information
2021-05-09 01:04:09,923 	 [INFO | officialFPLApi.py:90] > Request for event status : https://fantasy.premierleague.com/api/fixtures/?event=35
2021-05-09 01:04:13,956 	 [INFO | classicLeagueLiveHandler.py:26] > [INCOMING] Request at /api/live/lateststatistics 
2021-05-09 01:04:25,901 	 [ERROR | classicLeagueLiveHandler.py:37] > [EXCEPTION] While trying to respond to query /api/live/lateststatistics
Traceback (most recent call last):
  File "D:\Sherine Davis\Code\PycharmProjects\FPLDasherboard\fpldb\dashboardService\handlers\classicLeagueLiveHandler.py", line 33, in get
    response = self.getLatestStatisticsData()
  File "D:\Sherine Davis\Code\PycharmProjects\FPLDasherboard\fpldb\dashboardService\handlers\classicLeagueLiveHandler.py", line 66, in getLatestStatisticsData
    response['bestMidfielder'].update(self.getPlayerInfo(response['bestMidfielder']['id']))
  File "D:\Sherine Davis\Code\PycharmProjects\FPLDasherboard\fpldb\dashboardService\handlers\classicLeagueLiveHandler.py", line 46, in getPlayerInfo
    'teamName' : self.staticTeamData[playerMetadata['team_code']]['name'],
KeyError: 31
2021-05-09 01:04:25,906 	 [INFO | classicLeagueLiveHandler.py:26] > [INCOMING] Request at /api/live/classicleague/854530 
2021-05-09 01:06:04,697 	 [INFO | classicLeagueLiveHandler.py:233] >  * Finished serving request for dashboard live league
2021-05-09 01:06:04,709 	 [INFO | classicLeagueLiveHandler.py:35] > [OUTGOING] Response for /api/live/classicleague/854530 
2021-05-09 01:06:04,713 	 [INFO | classicLeagueLiveHandler.py:26] > [INCOMING] Request at /api/live/lateststatistics 
2021-05-09 01:06:05,110 	 [INFO | officialFPLApi.py:85] > Collecting fixture information
2021-05-09 01:06:05,110 	 [INFO | officialFPLApi.py:90] > Request for event status : https://fantasy.premierleague.com/api/fixtures/?event=35
2021-05-09 01:06:05,237 	 [INFO | officialFPLApi.py:30] > Collecting live data info
2021-05-09 01:06:05,237 	 [INFO | officialFPLApi.py:35] > Request for basic team info : https://fantasy.premierleague.com/api/event/35/live
2021-05-09 01:06:05,517 	 [INFO | officialFPLApi.py:85] > Collecting fixture information
2021-05-09 01:06:05,518 	 [INFO | officialFPLApi.py:90] > Request for event status : https://fantasy.premierleague.com/api/fixtures/?event=35
2021-05-09 01:07:04,795 	 [INFO | officialFPLApi.py:121] > Collecting bootstrap static data
2021-05-09 01:07:04,796 	 [INFO | officialFPLApi.py:126] > Request for bootstrap static data : https://fantasy.premierleague.com/api/bootstrap-static/
2021-05-09 01:07:05,153 	 [INFO | officialFPLApi.py:98] > Collecting event status
2021-05-09 01:07:05,153 	 [INFO | officialFPLApi.py:103] > Request for event status : https://fantasy.premierleague.com/api/event-status/
2021-05-09 01:07:05,277 	 [INFO | officialFPLApi.py:30] > Collecting live data info
2021-05-09 01:07:05,277 	 [INFO | officialFPLApi.py:85] > Collecting fixture information
2021-05-09 01:07:05,278 	 [INFO | officialFPLApi.py:35] > Request for basic team info : https://fantasy.premierleague.com/api/event/35/live
2021-05-09 01:07:05,278 	 [INFO | officialFPLApi.py:90] > Request for event status : https://fantasy.premierleague.com/api/fixtures/?event=35
2021-05-09 01:07:05,285 	 [INFO | service.py:19] > Dashboard service listening on http://localhost:8086
2021-05-09 01:07:05,477 	 [INFO | classicLeagueLiveHandler.py:26] > [INCOMING] Request at /api/live/lateststatistics 
2021-05-09 01:07:05,478 	 [ERROR | classicLeagueLiveHandler.py:37] > [EXCEPTION] While trying to respond to query /api/live/lateststatistics
Traceback (most recent call last):
  File "D:\Sherine Davis\Code\PycharmProjects\FPLDasherboard\fpldb\dashboardService\handlers\classicLeagueLiveHandler.py", line 33, in get
    response = self.getLatestStatisticsData()
  File "D:\Sherine Davis\Code\PycharmProjects\FPLDasherboard\fpldb\dashboardService\handlers\classicLeagueLiveHandler.py", line 61, in getLatestStatisticsData
    response['bestAttacker'] = self.liveFPLDatastore.getBIEPData()[PlayerPosition.Attacker]
KeyError: <PlayerPosition.Attacker: 4>
2021-05-09 01:07:05,570 	 [INFO | officialFPLApi.py:85] > Collecting fixture information
2021-05-09 01:07:05,570 	 [INFO | officialFPLApi.py:90] > Request for event status : https://fantasy.premierleague.com/api/fixtures/?event=35
2021-05-09 01:07:10,463 	 [INFO | classicLeagueLiveHandler.py:26] > [INCOMING] Request at /api/live/classicleague/854530 
2021-05-09 01:07:18,850 	 [INFO | officialFPLApi.py:121] > Collecting bootstrap static data
2021-05-09 01:07:18,850 	 [INFO | officialFPLApi.py:126] > Request for bootstrap static data : https://fantasy.premierleague.com/api/bootstrap-static/
2021-05-09 01:07:19,188 	 [INFO | officialFPLApi.py:98] > Collecting event status
2021-05-09 01:07:19,188 	 [INFO | officialFPLApi.py:103] > Request for event status : https://fantasy.premierleague.com/api/event-status/
2021-05-09 01:07:19,313 	 [INFO | officialFPLApi.py:85] > Collecting fixture information
2021-05-09 01:07:19,314 	 [INFO | officialFPLApi.py:90] > Request for event status : https://fantasy.premierleague.com/api/fixtures/?event=None
2021-05-09 01:07:19,314 	 [INFO | officialFPLApi.py:30] > Collecting live data info
2021-05-09 01:07:19,315 	 [INFO | officialFPLApi.py:35] > Request for basic team info : https://fantasy.premierleague.com/api/event/35/live
2021-05-09 01:07:19,320 	 [INFO | service.py:19] > Dashboard service listening on http://localhost:8086
2021-05-09 01:07:19,620 	 [INFO | officialFPLApi.py:85] > Collecting fixture information
2021-05-09 01:07:19,620 	 [INFO | officialFPLApi.py:90] > Request for event status : https://fantasy.premierleague.com/api/fixtures/?event=35
2021-05-09 01:07:24,592 	 [INFO | officialFPLApi.py:85] > Collecting fixture information
2021-05-09 01:07:24,592 	 [INFO | officialFPLApi.py:90] > Request for event status : https://fantasy.premierleague.com/api/fixtures/?event=35
2021-05-09 01:07:35,100 	 [INFO | classicLeagueLiveHandler.py:26] > [INCOMING] Request at /api/live/lateststatistics 
2021-05-09 01:08:28,002 	 [INFO | officialFPLApi.py:121] > Collecting bootstrap static data
2021-05-09 01:08:28,002 	 [INFO | officialFPLApi.py:126] > Request for bootstrap static data : https://fantasy.premierleague.com/api/bootstrap-static/
2021-05-09 01:08:28,226 	 [INFO | officialFPLApi.py:98] > Collecting event status
2021-05-09 01:08:28,226 	 [INFO | officialFPLApi.py:103] > Request for event status : https://fantasy.premierleague.com/api/event-status/
2021-05-09 01:08:28,346 	 [INFO | officialFPLApi.py:30] > Collecting live data info
2021-05-09 01:08:28,346 	 [INFO | officialFPLApi.py:35] > Request for basic team info : https://fantasy.premierleague.com/api/event/35/live
2021-05-09 01:08:28,346 	 [INFO | officialFPLApi.py:85] > Collecting fixture information
2021-05-09 01:08:28,347 	 [INFO | officialFPLApi.py:90] > Request for event status : https://fantasy.premierleague.com/api/fixtures/?event=35
2021-05-09 01:08:28,353 	 [INFO | service.py:19] > Dashboard service listening on http://localhost:8086
2021-05-09 01:08:28,639 	 [INFO | officialFPLApi.py:85] > Collecting fixture information
2021-05-09 01:08:28,639 	 [INFO | officialFPLApi.py:90] > Request for event status : https://fantasy.premierleague.com/api/fixtures/?event=35
2021-05-09 01:08:30,329 	 [INFO | classicLeagueLiveHandler.py:26] > [INCOMING] Request at /api/live/classicleague/854530 
2021-05-09 01:09:58,788 	 [INFO | classicLeagueLiveHandler.py:233] >  * Finished serving request for dashboard live league
2021-05-09 01:09:58,797 	 [INFO | classicLeagueLiveHandler.py:35] > [OUTGOING] Response for /api/live/classicleague/854530 
2021-05-09 01:09:58,800 	 [INFO | classicLeagueLiveHandler.py:26] > [INCOMING] Request at /api/live/lateststatistics 
2021-05-09 01:09:58,800 	 [INFO | classicLeagueLiveHandler.py:35] > [OUTGOING] Response for /api/live/lateststatistics 
2021-05-09 01:09:58,800 	 [INFO | classicLeagueLiveHandler.py:26] > [INCOMING] Request at /api/live/lateststatistics 
2021-05-09 01:09:58,801 	 [INFO | classicLeagueLiveHandler.py:35] > [OUTGOING] Response for /api/live/lateststatistics 
2021-05-09 01:09:58,801 	 [INFO | classicLeagueLiveHandler.py:26] > [INCOMING] Request at /api/live/classicleague/854530 
2021-05-09 01:10:28,774 	 [INFO | officialFPLApi.py:85] > Collecting fixture information
2021-05-09 01:10:28,774 	 [INFO | officialFPLApi.py:90] > Request for event status : https://fantasy.premierleague.com/api/fixtures/?event=35
2021-05-09 01:10:28,892 	 [INFO | officialFPLApi.py:30] > Collecting live data info
2021-05-09 01:10:28,892 	 [INFO | officialFPLApi.py:35] > Request for basic team info : https://fantasy.premierleague.com/api/event/35/live
2021-05-09 01:10:29,176 	 [INFO | officialFPLApi.py:85] > Collecting fixture information
2021-05-09 01:10:29,176 	 [INFO | officialFPLApi.py:90] > Request for event status : https://fantasy.premierleague.com/api/fixtures/?event=35
2021-05-09 01:11:24,097 	 [INFO | classicLeagueLiveHandler.py:233] >  * Finished serving request for dashboard live league
2021-05-09 01:11:24,105 	 [INFO | classicLeagueLiveHandler.py:35] > [OUTGOING] Response for /api/live/classicleague/854530 
2021-05-09 01:12:29,333 	 [INFO | officialFPLApi.py:85] > Collecting fixture information
2021-05-09 01:12:29,333 	 [INFO | officialFPLApi.py:90] > Request for event status : https://fantasy.premierleague.com/api/fixtures/?event=35
2021-05-09 01:12:29,454 	 [INFO | officialFPLApi.py:30] > Collecting live data info
2021-05-09 01:12:29,454 	 [INFO | officialFPLApi.py:35] > Request for basic team info : https://fantasy.premierleague.com/api/event/35/live
2021-05-09 01:12:29,733 	 [INFO | officialFPLApi.py:85] > Collecting fixture information
2021-05-09 01:12:29,733 	 [INFO | officialFPLApi.py:90] > Request for event status : https://fantasy.premierleague.com/api/fixtures/?event=35
2021-05-09 01:13:29,440 	 [INFO | officialFPLApi.py:85] > Collecting fixture information
2021-05-09 01:13:29,440 	 [INFO | officialFPLApi.py:90] > Request for event status : https://fantasy.premierleague.com/api/fixtures/?event=35
2021-05-09 01:14:15,856 	 [INFO | classicLeagueLiveHandler.py:26] > [INCOMING] Request at /api/live/lateststatistics 
2021-05-09 01:14:15,856 	 [INFO | classicLeagueLiveHandler.py:35] > [OUTGOING] Response for /api/live/lateststatistics 
2021-05-09 01:14:15,866 	 [INFO | classicLeagueLiveHandler.py:26] > [INCOMING] Request at /api/live/classicleague/854530 
2021-05-09 01:14:29,865 	 [INFO | officialFPLApi.py:85] > Collecting fixture information
2021-05-09 01:14:29,865 	 [INFO | officialFPLApi.py:90] > Request for event status : https://fantasy.premierleague.com/api/fixtures/?event=35
2021-05-09 01:14:29,983 	 [INFO | officialFPLApi.py:30] > Collecting live data info
2021-05-09 01:14:29,984 	 [INFO | officialFPLApi.py:35] > Request for basic team info : https://fantasy.premierleague.com/api/event/35/live
2021-05-09 01:14:30,266 	 [INFO | officialFPLApi.py:85] > Collecting fixture information
2021-05-09 01:14:30,267 	 [INFO | officialFPLApi.py:90] > Request for event status : https://fantasy.premierleague.com/api/fixtures/?event=35
2021-05-09 01:15:40,321 	 [INFO | classicLeagueLiveHandler.py:233] >  * Finished serving request for dashboard live league
2021-05-09 01:15:40,330 	 [INFO | classicLeagueLiveHandler.py:35] > [OUTGOING] Response for /api/live/classicleague/854530 
2021-05-09 01:15:40,332 	 [INFO | classicLeagueLiveHandler.py:26] > [INCOMING] Request at /api/live/lateststatistics 
2021-05-09 01:15:40,332 	 [INFO | classicLeagueLiveHandler.py:35] > [OUTGOING] Response for /api/live/lateststatistics 
2021-05-09 01:16:30,390 	 [INFO | officialFPLApi.py:85] > Collecting fixture information
2021-05-09 01:16:30,390 	 [INFO | officialFPLApi.py:90] > Request for event status : https://fantasy.premierleague.com/api/fixtures/?event=35
2021-05-09 01:16:30,508 	 [INFO | officialFPLApi.py:30] > Collecting live data info
2021-05-09 01:16:30,509 	 [INFO | officialFPLApi.py:35] > Request for basic team info : https://fantasy.premierleague.com/api/event/35/live
2021-05-09 01:16:30,784 	 [INFO | officialFPLApi.py:85] > Collecting fixture information
2021-05-09 01:16:30,784 	 [INFO | officialFPLApi.py:90] > Request for event status : https://fantasy.premierleague.com/api/fixtures/?event=35
2021-05-09 01:17:03,710 	 [INFO | classicLeagueLiveHandler.py:26] > [INCOMING] Request at /api/live/lateststatistics 
2021-05-09 01:17:03,711 	 [INFO | classicLeagueLiveHandler.py:35] > [OUTGOING] Response for /api/live/lateststatistics 
2021-05-09 01:17:03,726 	 [INFO | classicLeagueLiveHandler.py:26] > [INCOMING] Request at /api/live/classicleague/854530 
2021-05-09 01:18:28,384 	 [INFO | classicLeagueLiveHandler.py:233] >  * Finished serving request for dashboard live league
2021-05-09 01:18:28,393 	 [INFO | classicLeagueLiveHandler.py:35] > [OUTGOING] Response for /api/live/classicleague/854530 
2021-05-09 01:18:28,396 	 [INFO | classicLeagueLiveHandler.py:26] > [INCOMING] Request at /api/live/lateststatistics 
2021-05-09 01:18:28,396 	 [INFO | classicLeagueLiveHandler.py:35] > [OUTGOING] Response for /api/live/lateststatistics 
2021-05-09 01:18:28,397 	 [INFO | classicLeagueLiveHandler.py:26] > [INCOMING] Request at /api/live/lateststatistics 
2021-05-09 01:18:28,397 	 [INFO | classicLeagueLiveHandler.py:35] > [OUTGOING] Response for /api/live/lateststatistics 
2021-05-09 01:18:28,397 	 [INFO | classicLeagueLiveHandler.py:26] > [INCOMING] Request at /api/live/classicleague/854530 
2021-05-09 01:18:30,539 	 [INFO | officialFPLApi.py:85] > Collecting fixture information
2021-05-09 01:18:30,539 	 [INFO | officialFPLApi.py:90] > Request for event status : https://fantasy.premierleague.com/api/fixtures/?event=35
2021-05-09 01:18:30,906 	 [INFO | officialFPLApi.py:85] > Collecting fixture information
2021-05-09 01:18:30,906 	 [INFO | officialFPLApi.py:90] > Request for event status : https://fantasy.premierleague.com/api/fixtures/?event=35
2021-05-09 01:18:31,024 	 [INFO | officialFPLApi.py:30] > Collecting live data info
2021-05-09 01:18:31,024 	 [INFO | officialFPLApi.py:35] > Request for basic team info : https://fantasy.premierleague.com/api/event/35/live
2021-05-09 01:18:31,304 	 [INFO | officialFPLApi.py:85] > Collecting fixture information
2021-05-09 01:18:31,304 	 [INFO | officialFPLApi.py:90] > Request for event status : https://fantasy.premierleague.com/api/fixtures/?event=35
2021-05-09 01:19:53,055 	 [INFO | classicLeagueLiveHandler.py:233] >  * Finished serving request for dashboard live league
2021-05-09 01:19:53,065 	 [INFO | classicLeagueLiveHandler.py:35] > [OUTGOING] Response for /api/live/classicleague/854530 
2021-05-09 01:19:53,066 	 [INFO | classicLeagueLiveHandler.py:26] > [INCOMING] Request at /api/live/lateststatistics 
2021-05-09 01:19:53,067 	 [INFO | classicLeagueLiveHandler.py:35] > [OUTGOING] Response for /api/live/lateststatistics 
2021-05-09 01:20:31,436 	 [INFO | officialFPLApi.py:85] > Collecting fixture information
2021-05-09 01:20:31,436 	 [INFO | officialFPLApi.py:90] > Request for event status : https://fantasy.premierleague.com/api/fixtures/?event=35
2021-05-09 01:20:31,556 	 [INFO | officialFPLApi.py:30] > Collecting live data info
2021-05-09 01:20:31,556 	 [INFO | officialFPLApi.py:35] > Request for basic team info : https://fantasy.premierleague.com/api/event/35/live
2021-05-09 01:20:31,837 	 [INFO | officialFPLApi.py:85] > Collecting fixture information
2021-05-09 01:20:31,837 	 [INFO | officialFPLApi.py:90] > Request for event status : https://fantasy.premierleague.com/api/fixtures/?event=35
2021-05-09 01:22:31,967 	 [INFO | officialFPLApi.py:85] > Collecting fixture information
2021-05-09 01:22:31,967 	 [INFO | officialFPLApi.py:90] > Request for event status : https://fantasy.premierleague.com/api/fixtures/?event=35
2021-05-09 01:22:32,087 	 [INFO | officialFPLApi.py:30] > Collecting live data info
2021-05-09 01:22:32,087 	 [INFO | officialFPLApi.py:35] > Request for basic team info : https://fantasy.premierleague.com/api/event/35/live
2021-05-09 01:22:32,364 	 [INFO | officialFPLApi.py:85] > Collecting fixture information
2021-05-09 01:22:32,364 	 [INFO | officialFPLApi.py:90] > Request for event status : https://fantasy.premierleague.com/api/fixtures/?event=35
2021-05-09 01:22:46,149 	 [INFO | classicLeagueLiveHandler.py:26] > [INCOMING] Request at /api/live/lateststatistics 
2021-05-09 01:22:46,150 	 [INFO | classicLeagueLiveHandler.py:35] > [OUTGOING] Response for /api/live/lateststatistics 
2021-05-09 01:22:46,159 	 [INFO | classicLeagueLiveHandler.py:26] > [INCOMING] Request at /api/live/classicleague/854530 
2021-05-09 01:23:31,650 	 [INFO | officialFPLApi.py:85] > Collecting fixture information
2021-05-09 01:23:31,650 	 [INFO | officialFPLApi.py:90] > Request for event status : https://fantasy.premierleague.com/api/fixtures/?event=35
2021-05-09 01:24:11,084 	 [INFO | classicLeagueLiveHandler.py:233] >  * Finished serving request for dashboard live league
2021-05-09 01:24:11,093 	 [INFO | classicLeagueLiveHandler.py:35] > [OUTGOING] Response for /api/live/classicleague/854530 
2021-05-09 01:24:32,489 	 [INFO | officialFPLApi.py:85] > Collecting fixture information
2021-05-09 01:24:32,489 	 [INFO | officialFPLApi.py:90] > Request for event status : https://fantasy.premierleague.com/api/fixtures/?event=35
2021-05-09 01:24:32,608 	 [INFO | officialFPLApi.py:30] > Collecting live data info
2021-05-09 01:24:32,608 	 [INFO | officialFPLApi.py:35] > Request for basic team info : https://fantasy.premierleague.com/api/event/35/live
2021-05-09 01:24:32,920 	 [INFO | officialFPLApi.py:85] > Collecting fixture information
2021-05-09 01:24:32,920 	 [INFO | officialFPLApi.py:90] > Request for event status : https://fantasy.premierleague.com/api/fixtures/?event=35
2021-05-09 01:26:33,051 	 [INFO | officialFPLApi.py:85] > Collecting fixture information
